filename,timestamp,job_start,bs,size,numjobs,iodepth,jobname,rw,io_size,nrfiles,time_based,runtime,bw,iops,total_ios,clat_ms,clat_stdev_ms
sea_1osd_1reactor_custom_default_rc_1job_1io_p0.json,2026-07-16 19:46:51,2026-07-16 19:42:51,4k,256m,1,1,rados-seqwrite,write,256m,32,1,60,15824,3956.184064,237375,0.24809217428100003,0.064671308138
sea_1osd_1reactor_custom_default_rc_1job_1io_p0.json,2026-07-16 19:46:51,2026-07-16 19:43:51,4k,256m,1,1,rados-seqread,read,256m,32,1,60,47821,11955.416667,717325,0.079727401317,0.014754419481000002
sea_1osd_1reactor_custom_default_rc_1job_1io_p0.json,2026-07-16 19:46:51,2026-07-16 19:44:51,4k,256m,1,1,rados-randwrite,randwrite,,32,1,60,15636,3909.118181,234551,0.25125583016499997,0.07569182632999999
sea_1osd_1reactor_custom_default_rc_1job_1io_p0.json,2026-07-16 19:46:51,2026-07-16 19:45:51,4k,256m,1,1,rados-randread,randread,,32,1,60,47797,11949.367511,716974,0.079550176549,0.014653235801000001
sea_1osd_1reactor_custom_default_rc_1job_2io_p0.json,2026-07-16 19:50:53,2026-07-16 19:46:52,4k,256m,1,2,rados-seqwrite,write,256m,32,1,60,19242,4810.619823,288642,0.41100082805,0.139101479706
sea_1osd_1reactor_custom_default_rc_1job_2io_p0.json,2026-07-16 19:50:53,2026-07-16 19:47:52,4k,256m,1,2,rados-seqread,read,256m,32,1,60,69929,17482.458626,1048965,0.11037684384,0.018444427646
sea_1osd_1reactor_custom_default_rc_1job_2io_p0.json,2026-07-16 19:50:53,2026-07-16 19:48:52,4k,256m,1,2,rados-randwrite,randwrite,,32,1,60,19159,4789.936834,287401,0.412792609198,0.140226375141
sea_1osd_1reactor_custom_default_rc_1job_2io_p0.json,2026-07-16 19:50:53,2026-07-16 19:49:53,4k,256m,1,2,rados-randread,randread,,32,1,60,69907,17476.942051,1048634,0.11049031402599999,0.018041852336
sea_1osd_1reactor_custom_default_rc_1job_4io_p0.json,2026-07-16 19:54:54,2026-07-16 19:50:53,4k,256m,1,4,rados-seqwrite,write,256m,32,1,60,20893,5223.362944,313407,0.761853234513,0.261611605844
sea_1osd_1reactor_custom_default_rc_1job_4io_p0.json,2026-07-16 19:54:54,2026-07-16 19:51:53,4k,256m,1,4,rados-seqread,read,256m,32,1,60,80912,20228.129531,1213708,0.19463213863999998,0.02935655284
sea_1osd_1reactor_custom_default_rc_1job_4io_p0.json,2026-07-16 19:54:54,2026-07-16 19:52:54,4k,256m,1,4,rados-randwrite,randwrite,,32,1,60,20797,5199.413343,311970,0.765264338244,0.26410773973199997
sea_1osd_1reactor_custom_default_rc_1job_4io_p0.json,2026-07-16 19:54:54,2026-07-16 19:53:54,4k,256m,1,4,rados-randread,randread,,32,1,60,80621,20155.297412,1209338,0.195264904219,0.028097591337999998
sea_1osd_1reactor_custom_default_rc_1job_8io_p0.json,2026-07-16 19:58:55,2026-07-16 19:54:54,4k,256m,1,8,rados-seqwrite,write,256m,32,1,60,18571,4642.839286,278575,1.717961351751,0.5771505172670001
sea_1osd_1reactor_custom_default_rc_1job_8io_p0.json,2026-07-16 19:58:55,2026-07-16 19:55:54,4k,256m,1,8,rados-seqread,read,256m,32,1,60,69725,17431.492808,1045907,0.455115194685,0.099963837805
sea_1osd_1reactor_custom_default_rc_1job_8io_p0.json,2026-07-16 19:58:55,2026-07-16 19:56:55,4k,256m,1,8,rados-randwrite,randwrite,,32,1,60,18487,4621.922968,277320,1.725606516183,0.5618599740179999
sea_1osd_1reactor_custom_default_rc_1job_8io_p0.json,2026-07-16 19:58:55,2026-07-16 19:57:55,4k,256m,1,8,rados-randread,randread,,32,1,60,69935,17483.808603,1049046,0.453641212892,0.100185070473
sea_1osd_1reactor_custom_default_rc_1job_16io_p0.json,2026-07-16 20:02:56,2026-07-16 19:58:55,4k,256m,1,16,rados-seqwrite,write,256m,32,1,60,17834,4458.743729,267538,3.5830256182260003,1.2780189223279999
sea_1osd_1reactor_custom_default_rc_1job_16io_p0.json,2026-07-16 20:02:56,2026-07-16 19:59:56,4k,256m,1,16,rados-seqread,read,256m,32,1,60,81280,20320.061332,1219224,0.783732453963,0.098404877187
sea_1osd_1reactor_custom_default_rc_1job_16io_p0.json,2026-07-16 20:02:56,2026-07-16 20:00:56,4k,256m,1,16,rados-randwrite,randwrite,,32,1,60,17818,4454.518183,267280,3.586397878513,1.2328756278369999
sea_1osd_1reactor_custom_default_rc_1job_16io_p0.json,2026-07-16 20:02:56,2026-07-16 20:01:56,4k,256m,1,16,rados-randread,randread,,32,1,60,81021,20255.479075,1215349,0.78625640339,0.100456630372
sea_1osd_1reactor_custom_default_rc_1job_32io_p0.json,2026-07-16 20:06:57,2026-07-16 20:02:57,4k,256m,1,32,rados-seqwrite,write,256m,32,1,60,17416,4354.087159,261267,7.344500170538,9.536566748196
sea_1osd_1reactor_custom_default_rc_1job_32io_p0.json,2026-07-16 20:06:57,2026-07-16 20:03:57,4k,256m,1,32,rados-seqread,read,256m,32,1,60,97121,24280.373988,1456871,1.313956504846,0.249873073817
sea_1osd_1reactor_custom_default_rc_1job_32io_p0.json,2026-07-16 20:06:57,2026-07-16 20:04:57,4k,256m,1,32,rados-randwrite,randwrite,,32,1,60,17376,4344.227052,260671,7.361011377786999,9.787048545566
sea_1osd_1reactor_custom_default_rc_1job_32io_p0.json,2026-07-16 20:06:57,2026-07-16 20:05:57,4k,256m,1,32,rados-randread,randread,,32,1,60,97338,24334.738842,1460133,1.311060810619,0.251433196116
sea_1osd_1reactor_custom_default_rc_1job_64io_p0.json,2026-07-16 20:10:59,2026-07-16 20:06:58,4k,256m,1,64,rados-seqwrite,write,256m,32,1,60,16994,4248.687741,254968,15.057953256189,29.649091437899003
sea_1osd_1reactor_custom_default_rc_1job_64io_p0.json,2026-07-16 20:10:59,2026-07-16 20:07:58,4k,256m,1,64,rados-seqread,read,256m,32,1,60,99152,24788.12726,1487362,2.5776980194489996,0.286020074276
sea_1osd_1reactor_custom_default_rc_1job_64io_p0.json,2026-07-16 20:10:59,2026-07-16 20:08:58,4k,256m,1,64,rados-randwrite,randwrite,,32,1,60,16917,4229.383634,253818,15.12695301717,32.094446623895
sea_1osd_1reactor_custom_default_rc_1job_64io_p0.json,2026-07-16 20:10:59,2026-07-16 20:09:59,4k,256m,1,64,rados-randread,randread,,32,1,60,98929,24732.380048,1484017,2.583391901325,0.289480887581
